Target,Set,y_true,y_pred
logTE,Train,5.350248018,5.373300370704351
logTE,Train,4.728353782,4.955183562024721
logTE,Train,4.810232518,4.741346967687318
logTE,Train,4.953759692,4.971297706834883
logTE,Train,4.579783597,4.672190988460608
logTE,Train,6.161368002,6.128989370495309
logTE,Train,5.765817515,5.603782124993103
logTE,Train,5.773786445,5.838675642694747
logTE,Train,5.079181246,5.182735382851872
logTE,Train,5.214843848,5.234877748786814
logTE,Train,5.589949601,5.440638414426666
logTE,Train,5.08278537,5.194598849101533
logTE,Train,6.041392685,5.916277084662083
logTE,Train,4.779596491,4.777985440116318
logTE,Train,5.525044807,5.438826935129477
logTE,Train,6.113943352,6.070484878545071
logTE,Train,5.382017043,5.329150795179022
logTE,Train,4.675778342,4.6690373879508185
logTE,Train,6.004321374,5.832606551703709
logTE,Train,5.283301229,5.257033867382761
logTE,Train,4.496929648,4.580755142645501
logTE,Train,5.292256071,5.238325730152246
logTE,Train,5.387389826,5.405022667512634
logTE,Train,4.72916479,4.830700346800022
logTE,Train,4.833784375,5.148155353220378
logTE,Train,5.247973266,5.259112490318157
logTE,Train,5.064457989,5.081272830001888
logTE,Train,5.06595298,5.143276552268529
logTE,Train,4.564666064,4.665499719857333
logTE,Train,5.252853031,5.356191366295577
logTE,Train,5.73239376,5.756432487805174
logTE,Train,5.004321374,4.870199417593179
logTE,Train,5.791690649,5.774942829271386
logTE,Train,5.787460475,5.784375530707013
logTE,Train,6.158362492,6.077149635968007
logTE,Train,5.890979597,5.73880220193536
logTE,Train,6.285557309,6.203413150340229
logTE,Train,4.983175072,5.01313247758925
logTE,Train,4.531478917,4.5464501856558055
logTE,Train,6.06069784,6.004737162310905
logTE,Train,5.56937391,5.442285251684256
logTE,Train,4.859138297,4.944580417907978
logTE,Train,5.164352856,5.355667272731597
logTE,Train,4.152288344,4.346385888218499
logTE,Train,5.800717078,5.820079397173873
logTE,Train,5.722633923,5.627942297381101
logTE,Train,6.257678575,6.219500979257694
logTE,Train,5.635483747,5.599332312426644
logTE,Train,5.33243846,5.437269594035596
logTE,Train,4.994317153,5.00540110245925
logTE,Train,5.887054378,5.78860593483136
logTE,Train,5.694605199,5.7340085275482435
logTE,Train,5.326540669,5.382056468870241
logTE,Train,5.06069784,5.27801099120201
logTE,Train,5.356025857,5.521028932648876
logTE,Train,4.571708832,4.569713535903083
logTE,Train,5.558708571,5.465131460619971
logTE,Train,5.294466226,5.460456475435223
logTE,Train,5.089905111,4.931080167705072
logTE,Train,5.354108439,5.2363423590927916
logTE,Train,5.190331698,5.2101425180095795
logTE,Train,6.245512668,6.1287254898847365
logTE,Train,6.340444115,6.283754811635111
logTE,Train,5.478566496,5.587056170187756
logTE,Train,5.252853031,5.156168158427885
logTE,Train,5.537819095,5.633565858803785
logTE,Train,5.428134794,5.417555854727457
logTE,Train,6.298853076,6.282347242586785
logTE,Train,5.939019776,5.698093448795102
logTE,Train,4.984977126,5.012259368442633
logTE,Test,5.935507266,5.925924250618836
logTE,Test,4.854913022,4.807160536039278
logTE,Test,5.935003151,5.781834855536053
logTE,Test,4.797959644,4.662719048112596
logTE,Test,5.424881637,5.7633671247562575
logTE,Test,5.331832044,5.197153358855402
logTE,Test,6.068185862,5.942600816888643
logTE,Test,5.029383778,5.192860490328418
logTE,Test,4.741151599,5.009294589502916
logTE,Test,5.426511261,5.338412850996328
logTE,Test,6.320146286,6.113512846691976
logTE,Test,6.008600172,6.271893606321785
logTE,Test,5.92890769,5.548713533061275
logTE,Test,5.348304863,5.3755134414358
logTE,Test,4.926342447,5.448209596077264
logTE,Test,5.605305046,5.750411046478672
logTE,Test,5.657055853,5.589458154391648
logTE,Test,6.181843588,5.971880533927476
